index,ID,Name,Type,City,Zip,Grade,Rating1,Rating2,RatingAll,lat,lon,Enrollment
173,2920,Carver Elementary School,public,Georgetown,78626,PK-5,3,5,5.800000000000001,30.588884,-97.66136,823
174,24909,Dearing Elementary School,public,Pflugerville,78660,PK-5,5,3,7.0,30.497234,-97.593796,592
175,10032,Nadine Johnson Elementary School,public,Hutto,78634,PK-5,6,3,8.100000000000001,30.53447,-97.55924,711
176,8695,Hutto Middle School,public,Hutto,78634,6-8,7,3,9.200000000000001,30.552645,-97.55317,717
177,11444,Cottonwood Creek Elementary School,public,Hutto,78634,PK-5,5,3,7.0,30.556383,-97.55265,539
178,25307,Howard Norman Elementary School,public,Hutto,78634,PK-5,6,3,8.100000000000001,30.518854,-97.55784,539
179,3722,Hutto Elementary School,public,Hutto,78634,PK-5,7,4,9.700000000000001,30.549862,-97.53985,658
180,7575,Wonderland School,private,San Marcos,78666,PK-6,7,5,10.200000000000001,29.900465,-97.97286,176
181,7553,San Marcos Baptist Academy,private,San Marcos,78666,6-12,7,4,9.700000000000001,29.903345,-97.991516,276
182,6125,Crockett Elementary School,public,San Marcos,78666,K-5,6,4,8.600000000000001,29.885685,-97.96142,643
183,6127,Hernandez Elementary School,public,San Marcos,78666,K-5,5,4,7.5,29.866222,-97.968666,531
184,24438,San Marcos Montessori School,private,San Marcos,78666,PK-1,5,4,7.5,29.88195,-97.94494,531
185,7600,San Marcos Adventist Junior Academy,private,San Marcos,78667,PK-11,5,5,8.0,29.884342,-97.94194,74
186,9504,Texas Preparatory School,charter,San Marcos,78667,PK-8,7,4,9.700000000000001,29.88416,-97.941696,147
187,24647,Texas Preparatory School - Austin Campus,charter,San Marcos,78667,K-6,3,4,5.300000000000001,29.88416,-97.941696,104
188,6132,Miller Middle School,public,San Marcos,78666,6-8,4,5,6.9,29.858635,-97.972145,706
189,19615,Mendez Elementary School,public,San Marcos,78666,K-5,4,4,6.4,29.858128,-97.94779,551
